county,precinct,office,district,party,candidate,votes,failsafe_provisional,failsafe,absentee_by_mail,election_day,in-person_absentee,provisional
Abbeville,Lebanon,BALLOTS CAST,,REP,BALLOTS CAST - Republican,160,0,0,15,127,18,0
Abbeville,Smithville,BALLOTS CAST,,REP,BALLOTS CAST - Republican,148,0,0,12,119,17,0
Abbeville,Failsafe,BALLOTS CAST,,REP,BALLOTS CAST - Republican,0,0,0,0,0,0,0
Abbeville,Provisional,BALLOTS CAST,,REP,BALLOTS CAST - Republican,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,BALLOTS CAST,,REP,BALLOTS CAST - Republican,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,U.S. Senate,,REP,Duke Buckner,7,0,0,0,6,1,0
Abbeville,Abbeville No. 2,U.S. Senate,,REP,Duke Buckner,3,0,0,0,3,0,0
Abbeville,Abbeville No. 3,U.S. Senate,,REP,Duke Buckner,10,0,0,1,6,3,0
Abbeville,Abbeville No. 4,U.S. Senate,,REP,Duke Buckner,6,0,0,0,6,0,0
Abbeville,Antreville,U.S. Senate,,REP,Duke Buckner,12,0,0,0,12,0,0
Abbeville,Broadmouth,U.S. Senate,,REP,Duke Buckner,2,0,0,0,2,0,0
Abbeville,Calhoun Falls,U.S. Senate,,REP,Duke Buckner,2,0,0,0,2,0,0
Abbeville,Cold Springs,U.S. Senate,,REP,Duke Buckner,5,0,0,2,3,0,0
Abbeville,Donald's,U.S. Senate,,REP,Duke Buckner,2,0,0,0,2,0,0
Abbeville,Due West,U.S. Senate,,REP,Duke Buckner,18,0,0,1,17,0,0
Abbeville,Hall's Store,U.S. Senate,,REP,Duke Buckner,5,0,0,0,5,0,0
Abbeville,Keowee,U.S. Senate,,REP,Duke Buckner,11,0,0,1,10,0,0
Abbeville,Lowndesville,U.S. Senate,,REP,Duke Buckner,8,0,0,0,8,0,0
Abbeville,Lebanon,U.S. Senate,,REP,Duke Buckner,4,0,0,1,3,0,0
Abbeville,Smithville,U.S. Senate,,REP,Duke Buckner,4,0,0,0,4,0,0
Abbeville,Failsafe,U.S. Senate,,REP,Duke Buckner,0,0,0,0,0,0,0
Abbeville,Provisional,U.S. Senate,,REP,Duke Buckner,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,U.S. Senate,,REP,Duke Buckner,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,U.S. Senate,,REP,Lindsey Graham,248,0,0,55,116,77,0
Abbeville,Abbeville No. 2,U.S. Senate,,REP,Lindsey Graham,66,0,0,8,43,15,0
Abbeville,Abbeville No. 3,U.S. Senate,,REP,Lindsey Graham,126,0,0,13,80,33,0
Abbeville,Abbeville No. 4,U.S. Senate,,REP,Lindsey Graham,115,0,0,4,82,29,0
Abbeville,Antreville,U.S. Senate,,REP,Lindsey Graham,132,0,0,11,114,7,0
Abbeville,Broadmouth,U.S. Senate,,REP,Lindsey Graham,48,0,0,0,47,1,0
Abbeville,Calhoun Falls,U.S. Senate,,REP,Lindsey Graham,117,0,0,16,94,7,0
Abbeville,Cold Springs,U.S. Senate,,REP,Lindsey Graham,172,0,0,7,154,11,0
Abbeville,Donald's,U.S. Senate,,REP,Lindsey Graham,62,0,0,0,61,1,0
Abbeville,Due West,U.S. Senate,,REP,Lindsey Graham,150,0,0,9,134,7,0
Abbeville,Hall's Store,U.S. Senate,,REP,Lindsey Graham,71,0,0,5,66,0,0
Abbeville,Keowee,U.S. Senate,,REP,Lindsey Graham,99,0,0,6,90,3,0
Abbeville,Lowndesville,U.S. Senate,,REP,Lindsey Graham,117,0,0,11,101,5,0
Abbeville,Lebanon,U.S. Senate,,REP,Lindsey Graham,126,0,0,10,98,18,0
Abbeville,Smithville,U.S. Senate,,REP,Lindsey Graham,128,0,0,10,104,14,0
Abbeville,Failsafe,U.S. Senate,,REP,Lindsey Graham,0,0,0,0,0,0,0
Abbeville,Provisional,U.S. Senate,,REP,Lindsey Graham,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,U.S. Senate,,REP,Lindsey Graham,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,U.S. Senate,,REP,Michael LaPierre,29,0,0,5,18,6,0
Abbeville,Abbeville No. 2,U.S. Senate,,REP,Michael LaPierre,17,0,0,1,16,0,0
Abbeville,Abbeville No. 3,U.S. Senate,,REP,Michael LaPierre,12,0,0,0,10,2,0
Abbeville,Abbeville No. 4,U.S. Senate,,REP,Michael LaPierre,13,0,0,0,13,0,0
Abbeville,Antreville,U.S. Senate,,REP,Michael LaPierre,37,0,0,0,36,1,0
Abbeville,Broadmouth,U.S. Senate,,REP,Michael LaPierre,19,0,0,0,19,0,0
Abbeville,Calhoun Falls,U.S. Senate,,REP,Michael LaPierre,17,0,0,0,16,1,0
Abbeville,Cold Springs,U.S. Senate,,REP,Michael LaPierre,19,0,0,0,17,2,0
Abbeville,Donald's,U.S. Senate,,REP,Michael LaPierre,12,0,0,0,12,0,0
Abbeville,Due West,U.S. Senate,,REP,Michael LaPierre,23,0,0,0,23,0,0
Abbeville,Hall's Store,U.S. Senate,,REP,Michael LaPierre,18,0,0,0,18,0,0
Abbeville,Keowee,U.S. Senate,,REP,Michael LaPierre,31,0,0,0,30,1,0
Abbeville,Lowndesville,U.S. Senate,,REP,Michael LaPierre,34,0,0,0,32,2,0
Abbeville,Lebanon,U.S. Senate,,REP,Michael LaPierre,23,0,0,4,19,0,0
Abbeville,Smithville,U.S. Senate,,REP,Michael LaPierre,15,0,0,2,10,3,0
Abbeville,Failsafe,U.S. Senate,,REP,Michael LaPierre,0,0,0,0,0,0,0
Abbeville,Provisional,U.S. Senate,,REP,Michael LaPierre,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,U.S. Senate,,REP,Michael LaPierre,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,U.S. Senate,,REP,Joe Reynolds,10,0,0,0,8,2,0
Abbeville,Abbeville No. 2,U.S. Senate,,REP,Joe Reynolds,8,0,0,1,5,2,0
Abbeville,Abbeville No. 3,U.S. Senate,,REP,Joe Reynolds,6,0,0,0,3,3,0
Abbeville,Abbeville No. 4,U.S. Senate,,REP,Joe Reynolds,6,0,0,0,4,2,0
Abbeville,Antreville,U.S. Senate,,REP,Joe Reynolds,6,0,0,0,6,0,0
Abbeville,Broadmouth,U.S. Senate,,REP,Joe Reynolds,1,0,0,0,1,0,0
Abbeville,Calhoun Falls,U.S. Senate,,REP,Joe Reynolds,9,0,0,1,8,0,0
Abbeville,Cold Springs,U.S. Senate,,REP,Joe Reynolds,8,0,0,0,8,0,0
Abbeville,Donald's,U.S. Senate,,REP,Joe Reynolds,6,0,0,0,6,0,0
Abbeville,Due West,U.S. Senate,,REP,Joe Reynolds,9,0,0,3,6,0,0
Abbeville,Hall's Store,U.S. Senate,,REP,Joe Reynolds,7,0,0,0,7,0,0
Abbeville,Keowee,U.S. Senate,,REP,Joe Reynolds,5,0,0,0,5,0,0
Abbeville,Lowndesville,U.S. Senate,,REP,Joe Reynolds,7,0,0,0,5,2,0
Abbeville,Lebanon,U.S. Senate,,REP,Joe Reynolds,6,0,0,0,6,0,0
Abbeville,Smithville,U.S. Senate,,REP,Joe Reynolds,1,0,0,0,1,0,0
Abbeville,Failsafe,U.S. Senate,,REP,Joe Reynolds,0,0,0,0,0,0,0
Abbeville,Provisional,U.S. Senate,,REP,Joe Reynolds,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,U.S. Senate,,REP,Joe Reynolds,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,80,0,0,19,47,14,0
Abbeville,Abbeville No. 2,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,146,0,0,25,92,29,0
Abbeville,Abbeville No. 3,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,67,0,0,9,38,20,0
Abbeville,Abbeville No. 4,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,32,0,0,12,17,3,0
Abbeville,Antreville,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,18,0,0,0,18,0,0
Abbeville,Broadmouth,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,6,0,0,1,4,1,0
Abbeville,Calhoun Falls,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,120,0,0,11,97,12,0
Abbeville,Cold Springs,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,20,0,0,1,18,1,0
Abbeville,Donald's,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,7,0,0,0,4,3,0
Abbeville,Due West,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,58,0,0,13,35,10,0
Abbeville,Hall's Store,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,20,0,0,3,17,0,0
Abbeville,Keowee,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,13,0,0,2,7,4,0
Abbeville,Lowndesville,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,19,0,0,2,14,3,0
Abbeville,Lebanon,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,39,0,0,8,24,7,0
Abbeville,Smithville,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,30,0,0,8,19,3,0
Abbeville,Failsafe,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,0,0,0,0,0,0,0
Abbeville,Provisional,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,"U.S. House of Representatives, District 3",3,DEM,Hosea Cleveland,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,38,0,0,3,21,14,0
Abbeville,Abbeville No. 2,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,71,0,0,7,49,15,0
Abbeville,Abbeville No. 3,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,35,0,0,6,24,5,0
Abbeville,Abbeville No. 4,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,24,0,0,6,17,1,0
Abbeville,Antreville,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,18,0,0,3,14,1,0
Abbeville,Broadmouth,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,20,0,0,0,20,0,0
Abbeville,Calhoun Falls,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,71,0,0,0,65,6,0
Abbeville,Cold Springs,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,18,0,0,0,16,2,0
Abbeville,Donald's,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,7,0,0,0,7,0,0
Abbeville,Due West,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,48,0,0,7,32,9,0
Abbeville,Hall's Store,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,12,0,0,0,12,0,0
Abbeville,Keowee,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,10,0,0,0,8,2,0
Abbeville,Lowndesville,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,8,0,0,0,8,0,0
Abbeville,Lebanon,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,13,0,0,1,10,2,0
Abbeville,Smithville,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,15,0,0,2,11,2,0
Abbeville,Failsafe,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,0,0,0,0,0,0,0
Abbeville,Provisional,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,"U.S. House of Representatives, District 3",3,DEM,Mark D Welch,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,"State Senate, District 10",10,REP,Billy Garrett,179,0,0,30,94,55,0
Abbeville,Abbeville No. 2,"State Senate, District 10",10,REP,Billy Garrett,51,0,0,8,35,8,0
Abbeville,Abbeville No. 3,"State Senate, District 10",10,REP,Billy Garrett,88,0,0,10,55,23,0
Abbeville,Abbeville No. 4,"State Senate, District 10",10,REP,Billy Garrett,63,0,0,2,47,14,0
Abbeville,Antreville,"State Senate, District 10",10,REP,Billy Garrett,90,0,0,7,80,3,0
Abbeville,Calhoun Falls,"State Senate, District 10",10,REP,Billy Garrett,86,0,0,11,71,4,0
Abbeville,Cold Springs,"State Senate, District 10",10,REP,Billy Garrett,113,0,0,5,101,7,0
Abbeville,Due West,"State Senate, District 10",10,REP,Billy Garrett,125,0,0,10,110,5,0
Abbeville,Keowee,"State Senate, District 10",10,REP,Billy Garrett,82,0,0,6,75,1,0
Abbeville,Lowndesville,"State Senate, District 10",10,REP,Billy Garrett,84,0,0,6,76,2,0
Abbeville,Lebanon,"State Senate, District 10",10,REP,Billy Garrett,79,0,0,6,65,8,0
Abbeville,Smithville,"State Senate, District 10",10,REP,Billy Garrett,84,0,0,10,63,11,0
Abbeville,Failsafe,"State Senate, District 10",10,REP,Billy Garrett,0,0,0,0,0,0,0
Abbeville,Provisional,"State Senate, District 10",10,REP,Billy Garrett,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,"State Senate, District 10",10,REP,Billy Garrett,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,"State Senate, District 10",10,REP,Bryan Hope,112,0,0,29,53,30,0
Abbeville,Abbeville No. 2,"State Senate, District 10",10,REP,Bryan Hope,42,0,0,2,32,8,0
Abbeville,Abbeville No. 3,"State Senate, District 10",10,REP,Bryan Hope,66,0,0,4,44,18,0
Abbeville,Abbeville No. 4,"State Senate, District 10",10,REP,Bryan Hope,72,0,0,2,54,16,0
Abbeville,Antreville,"State Senate, District 10",10,REP,Bryan Hope,93,0,0,4,87,2,0
Abbeville,Calhoun Falls,"State Senate, District 10",10,REP,Bryan Hope,58,0,0,6,48,4,0
Abbeville,Cold Springs,"State Senate, District 10",10,REP,Bryan Hope,91,0,0,4,81,6,0
Abbeville,Due West,"State Senate, District 10",10,REP,Bryan Hope,68,0,0,1,65,2,0
Abbeville,Keowee,"State Senate, District 10",10,REP,Bryan Hope,54,0,0,1,50,3,0
Abbeville,Lowndesville,"State Senate, District 10",10,REP,Bryan Hope,77,0,0,5,65,7,0
Abbeville,Lebanon,"State Senate, District 10",10,REP,Bryan Hope,78,0,0,8,60,10,0
Abbeville,Smithville,"State Senate, District 10",10,REP,Bryan Hope,64,0,0,2,56,6,0
Abbeville,Failsafe,"State Senate, District 10",10,REP,Bryan Hope,0,0,0,0,0,0,0
Abbeville,Provisional,"State Senate, District 10",10,REP,Bryan Hope,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,"State Senate, District 10",10,REP,Bryan Hope,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,County Council District 4,,REP,Billy Norris,89,0,0,18,51,20,0
Abbeville,Abbeville No. 2,County Council District 4,,REP,Billy Norris,16,0,0,4,8,4,0
Abbeville,Abbeville No. 3,County Council District 4,,REP,Billy Norris,79,0,0,11,48,20,0
Abbeville,Abbeville No. 4,County Council District 4,,REP,Billy Norris,54,0,0,2,34,18,0
Abbeville,Lebanon,County Council District 4,,REP,Billy Norris,5,0,0,0,3,2,0
Abbeville,Failsafe,County Council District 4,,REP,Billy Norris,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 4,,REP,Billy Norris,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 4,,REP,Billy Norris,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,County Council District 4,,REP,Harold Prince,108,0,0,24,49,35,0
Abbeville,Abbeville No. 2,County Council District 4,,REP,Harold Prince,7,0,0,0,7,0,0
Abbeville,Abbeville No. 3,County Council District 4,,REP,Harold Prince,46,0,0,2,31,13,0
Abbeville,Abbeville No. 4,County Council District 4,,REP,Harold Prince,36,0,0,0,32,4,0
Abbeville,Lebanon,County Council District 4,,REP,Harold Prince,0,0,0,0,0,0,0
Abbeville,Failsafe,County Council District 4,,REP,Harold Prince,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 4,,REP,Harold Prince,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 4,,REP,Harold Prince,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,County Council District 5,,REP,James P McCord,5,0,0,1,2,2,0
Abbeville,Abbeville No. 2,County Council District 5,,REP,James P McCord,7,0,0,1,6,0,0
Abbeville,Abbeville No. 3,County Council District 5,,REP,James P McCord,6,0,0,0,4,2,0
Abbeville,Cold Springs,County Council District 5,,REP,James P McCord,148,0,0,6,131,11,0
Abbeville,Due West,County Council District 5,,REP,James P McCord,32,0,0,2,30,0,0
Abbeville,Keowee,County Council District 5,,REP,James P McCord,1,0,0,1,0,0,0
Abbeville,Lebanon,County Council District 5,,REP,James P McCord,51,0,0,3,41,7,0
Abbeville,Smithville,County Council District 5,,REP,James P McCord,98,0,0,8,77,13,0
Abbeville,Failsafe,County Council District 5,,REP,James P McCord,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 5,,REP,James P McCord,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 5,,REP,James P McCord,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,County Council District 5,,REP,Kristi R Smith,1,0,0,0,0,1,0
Abbeville,Abbeville No. 2,County Council District 5,,REP,Kristi R Smith,1,0,0,0,1,0,0
Abbeville,Abbeville No. 3,County Council District 5,,REP,Kristi R Smith,3,0,0,2,1,0,0
Abbeville,Cold Springs,County Council District 5,,REP,Kristi R Smith,52,0,0,3,47,2,0
Abbeville,Due West,County Council District 5,,REP,Kristi R Smith,19,0,0,4,15,0,0
Abbeville,Keowee,County Council District 5,,REP,Kristi R Smith,0,0,0,0,0,0,0
Abbeville,Lebanon,County Council District 5,,REP,Kristi R Smith,17,0,0,2,11,4,0
Abbeville,Smithville,County Council District 5,,REP,Kristi R Smith,49,0,0,4,41,4,0
Abbeville,Failsafe,County Council District 5,,REP,Kristi R Smith,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 5,,REP,Kristi R Smith,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 5,,REP,Kristi R Smith,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,Advisory Question 1,,REP,Yes,262,0,0,55,127,80,0
Abbeville,Abbeville No. 2,Advisory Question 1,,REP,Yes,88,0,0,9,62,17,0
Abbeville,Abbeville No. 3,Advisory Question 1,,REP,Yes,145,0,0,15,92,38,0
Abbeville,Abbeville No. 4,Advisory Question 1,,REP,Yes,131,0,0,4,99,28,0
Abbeville,Antreville,Advisory Question 1,,REP,Yes,159,0,0,10,143,6,0
Abbeville,Broadmouth,Advisory Question 1,,REP,Yes,65,0,0,0,65,0,0
Abbeville,Calhoun Falls,Advisory Question 1,,REP,Yes,126,0,0,15,103,8,0
Abbeville,Cold Springs,Advisory Question 1,,REP,Yes,176,0,0,9,155,12,0
Abbeville,Donald's,Advisory Question 1,,REP,Yes,70,0,0,0,69,1,0
Abbeville,Due West,Advisory Question 1,,REP,Yes,174,0,0,9,158,7,0
Abbeville,Hall's Store,Advisory Question 1,,REP,Yes,87,0,0,3,84,0,0
Abbeville,Keowee,Advisory Question 1,,REP,Yes,128,0,0,6,119,3,0
Abbeville,Lowndesville,Advisory Question 1,,REP,Yes,141,0,0,9,125,7,0
Abbeville,Lebanon,Advisory Question 1,,REP,Yes,144,0,0,12,115,17,0
Abbeville,Smithville,Advisory Question 1,,REP,Yes,132,0,0,11,107,14,0
Abbeville,Failsafe,Advisory Question 1,,REP,Yes,0,0,0,0,0,0,0
Abbeville,Provisional,Advisory Question 1,,REP,Yes,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,Advisory Question 1,,REP,Yes,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,Advisory Question 1,,REP,No,32,0,0,4,22,6,0
Abbeville,Abbeville No. 2,Advisory Question 1,,REP,No,5,0,0,1,4,0,0
Abbeville,Abbeville No. 3,Advisory Question 1,,REP,No,10,0,0,0,7,3,0
Abbeville,Abbeville No. 4,Advisory Question 1,,REP,No,7,0,0,0,4,3,0
Abbeville,Antreville,Advisory Question 1,,REP,No,30,0,0,1,27,2,0
Abbeville,Broadmouth,Advisory Question 1,,REP,No,6,0,0,0,5,1,0
Abbeville,Calhoun Falls,Advisory Question 1,,REP,No,19,0,0,1,18,0,0
Abbeville,Cold Springs,Advisory Question 1,,REP,No,28,0,0,0,27,1,0
Abbeville,Donald's,Advisory Question 1,,REP,No,10,0,0,0,10,0,0
Abbeville,Due West,Advisory Question 1,,REP,No,21,0,0,2,19,0,0
Abbeville,Hall's Store,Advisory Question 1,,REP,No,14,0,0,3,11,0,0
Abbeville,Keowee,Advisory Question 1,,REP,No,19,0,0,2,16,1,0
Abbeville,Lowndesville,Advisory Question 1,,REP,No,24,0,0,2,20,2,0
Abbeville,Lebanon,Advisory Question 1,,REP,No,16,0,0,3,12,1,0
Abbeville,Smithville,Advisory Question 1,,REP,No,15,0,0,1,11,3,0
Abbeville,Failsafe,Advisory Question 1,,REP,No,0,0,0,0,0,0,0
Abbeville,Provisional,Advisory Question 1,,REP,No,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,Advisory Question 1,,REP,No,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,Advisory Question 2,,REP,Yes,237,0,0,51,114,72,0
Abbeville,Abbeville No. 2,Advisory Question 2,,REP,Yes,65,0,0,7,45,13,0
Abbeville,Abbeville No. 3,Advisory Question 2,,REP,Yes,129,0,0,11,82,36,0
Abbeville,Abbeville No. 4,Advisory Question 2,,REP,Yes,113,0,0,4,84,25,0
Abbeville,Antreville,Advisory Question 2,,REP,Yes,146,0,0,9,131,6,0
Abbeville,Broadmouth,Advisory Question 2,,REP,Yes,52,0,0,0,52,0,0
Abbeville,Calhoun Falls,Advisory Question 2,,REP,Yes,115,0,0,13,95,7,0
Abbeville,Cold Springs,Advisory Question 2,,REP,Yes,154,0,0,6,136,12,0
Abbeville,Donald's,Advisory Question 2,,REP,Yes,61,0,0,0,60,1,0
Abbeville,Due West,Advisory Question 2,,REP,Yes,148,0,0,9,132,7,0
Abbeville,Hall's Store,Advisory Question 2,,REP,Yes,81,0,0,5,76,0,0
Abbeville,Keowee,Advisory Question 2,,REP,Yes,112,0,0,7,102,3,0
Abbeville,Lowndesville,Advisory Question 2,,REP,Yes,135,0,0,10,117,8,0
Abbeville,Lebanon,Advisory Question 2,,REP,Yes,125,0,0,15,94,16,0
Abbeville,Smithville,Advisory Question 2,,REP,Yes,118,0,0,12,93,13,0
Abbeville,Failsafe,Advisory Question 2,,REP,Yes,0,0,0,0,0,0,0
Abbeville,Provisional,Advisory Question 2,,REP,Yes,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,Advisory Question 2,,REP,Yes,1,1,0,0,0,0,0
Abbeville,Abbeville No. 1,Advisory Question 2,,REP,No,57,0,0,8,35,14,0
Abbeville,Abbeville No. 2,Advisory Question 2,,REP,No,24,0,0,0,20,4,0
Abbeville,Abbeville No. 3,Advisory Question 2,,REP,No,23,0,0,2,16,5,0
Abbeville,Abbeville No. 4,Advisory Question 2,,REP,No,26,0,0,0,20,6,0
Abbeville,Antreville,Advisory Question 2,,REP,No,39,0,0,1,37,1,0
Abbeville,Broadmouth,Advisory Question 2,,REP,No,19,0,0,0,18,1,0
Abbeville,Calhoun Falls,Advisory Question 2,,REP,No,27,0,0,1,25,1,0
Abbeville,Cold Springs,Advisory Question 2,,REP,No,48,0,0,3,44,1,0
Abbeville,Donald's,Advisory Question 2,,REP,No,20,0,0,0,20,0,0
Abbeville,Due West,Advisory Question 2,,REP,No,50,0,0,2,48,0,0
Abbeville,Hall's Store,Advisory Question 2,,REP,No,21,0,0,1,20,0,0
Abbeville,Keowee,Advisory Question 2,,REP,No,33,0,0,1,31,1,0
Abbeville,Lowndesville,Advisory Question 2,,REP,No,27,0,0,1,26,0,0
Abbeville,Lebanon,Advisory Question 2,,REP,No,33,0,0,0,31,2,0
Abbeville,Smithville,Advisory Question 2,,REP,No,27,0,0,0,23,4,0
Abbeville,Failsafe,Advisory Question 2,,REP,No,0,0,0,0,0,0,0
Abbeville,Provisional,Advisory Question 2,,REP,No,0,0,0,0,0,0,0
