county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_by_mail,provisional,failsafe_provisional,failsafe
Calhoun,Provisional,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Failsafe Provisional,Straight Party,,UNC,United Citizens,0,0,0,0,0,0,0
Calhoun,Bethel,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Cameron,Straight Party,,GRN,Green,1,0,1,0,0,0,0
Calhoun,Center Hill,Straight Party,,GRN,Green,1,0,1,0,0,0,0
Calhoun,Creston,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Dixie,Straight Party,,GRN,Green,1,1,0,0,0,0,0
Calhoun,Fall Branch,Straight Party,,GRN,Green,1,0,1,0,0,0,0
Calhoun,Fort Motte,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Lone Star,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Midway,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Murph Hill,Straight Party,,GRN,Green,3,0,3,0,0,0,0
Calhoun,Sandy Run,Straight Party,,GRN,Green,1,1,0,0,0,0,0
Calhoun,St. Matthews,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Failsafe,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Provisional,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Failsafe Provisional,Straight Party,,GRN,Green,0,0,0,0,0,0,0
Calhoun,Bethel,Straight Party,,REP,Republican,168,72,88,8,0,0,0
Calhoun,Cameron,Straight Party,,REP,Republican,88,49,39,0,0,0,0
Calhoun,Center Hill,Straight Party,,REP,Republican,204,101,97,6,0,0,0
Calhoun,Creston,Straight Party,,REP,Republican,22,9,12,1,0,0,0
Calhoun,Dixie,Straight Party,,REP,Republican,127,83,43,1,0,0,0
Calhoun,Fall Branch,Straight Party,,REP,Republican,78,35,43,0,0,0,0
Calhoun,Fort Motte,Straight Party,,REP,Republican,46,20,25,1,0,0,0
Calhoun,Lone Star,Straight Party,,REP,Republican,238,132,101,5,0,0,0
Calhoun,Midway,Straight Party,,REP,Republican,82,27,55,0,0,0,0
Calhoun,Murph Hill,Straight Party,,REP,Republican,62,18,44,0,0,0,0
Calhoun,Sandy Run,Straight Party,,REP,Republican,499,236,255,8,0,0,0
Calhoun,St. Matthews,Straight Party,,REP,Republican,221,140,70,11,0,0,0
Calhoun,Failsafe,Straight Party,,REP,Republican,0,0,0,0,0,0,0
Calhoun,Provisional,Straight Party,,REP,Republican,0,0,0,0,0,0,0
Calhoun,Failsafe Provisional,Straight Party,,REP,Republican,3,0,0,0,0,3,0
Calhoun,Bethel,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Cameron,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Center Hill,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Creston,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Dixie,Straight Party,,ALN,Alliance,1,0,1,0,0,0,0
Calhoun,Fall Branch,Straight Party,,ALN,Alliance,1,0,1,0,0,0,0
Calhoun,Fort Motte,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Lone Star,Straight Party,,ALN,Alliance,1,0,1,0,0,0,0
Calhoun,Midway,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Murph Hill,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Sandy Run,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,St. Matthews,Straight Party,,ALN,Alliance,1,1,0,0,0,0,0
Calhoun,Failsafe,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Provisional,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Failsafe Provisional,Straight Party,,ALN,Alliance,0,0,0,0,0,0,0
Calhoun,Bethel,Straight Party,,LIB,Libertarian,2,0,0,2,0,0,0
