county,precinct,office,district,party,candidate,votes,failsafe,absentee_by_mail,failsafe_provisional,early_voting,provisional,election_day
Abbeville,Failsafe,,U.S. House,3,REP,Sheri Biggs,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Sheri Biggs,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Sheri Biggs,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Kevin Bishop,16,0,0,0,8,0,8
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Kevin Bishop,2,0,0,0,0,0,2
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Kevin Bishop,11,0,0,0,7,0,4
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Kevin Bishop,6,0,0,0,1,0,5
Abbeville,Antreville,,U.S. House,3,REP,Kevin Bishop,12,0,0,0,3,0,9
Abbeville,Broadmouth,,U.S. House,3,REP,Kevin Bishop,2,0,0,0,0,0,2
Abbeville,Calhoun Falls,,U.S. House,3,REP,Kevin Bishop,5,0,0,0,1,0,4
Abbeville,Cold Springs,,U.S. House,3,REP,Kevin Bishop,11,0,0,0,2,0,9
Abbeville,Donald's,,U.S. House,3,REP,Kevin Bishop,4,0,0,0,1,0,3
Abbeville,Due West,,U.S. House,3,REP,Kevin Bishop,15,0,1,0,2,0,12
Abbeville,Hall's Store,,U.S. House,3,REP,Kevin Bishop,3,0,0,0,1,0,2
Abbeville,Keowee,,U.S. House,3,REP,Kevin Bishop,8,0,0,0,0,0,8
Abbeville,Lowndesville,,U.S. House,3,REP,Kevin Bishop,12,0,0,0,2,0,10
Abbeville,Lebanon,,U.S. House,3,REP,Kevin Bishop,11,0,0,0,1,0,10
Abbeville,Smithville,,U.S. House,3,REP,Kevin Bishop,7,0,0,0,4,0,3
Abbeville,Failsafe,,U.S. House,3,REP,Kevin Bishop,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Kevin Bishop,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Kevin Bishop,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Mark Burns,63,0,0,0,17,0,46
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Mark Burns,38,0,1,0,9,0,28
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Mark Burns,36,0,1,0,10,0,25
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Mark Burns,56,0,0,0,16,0,40
Abbeville,Antreville,,U.S. House,3,REP,Mark Burns,91,0,4,0,20,0,67
Abbeville,Broadmouth,,U.S. House,3,REP,Mark Burns,26,0,0,0,2,0,24
Abbeville,Calhoun Falls,,U.S. House,3,REP,Mark Burns,49,0,5,0,7,0,37
Abbeville,Cold Springs,,U.S. House,3,REP,Mark Burns,66,0,0,0,12,0,54
Abbeville,Donald's,,U.S. House,3,REP,Mark Burns,30,0,0,0,7,0,23
Abbeville,Due West,,U.S. House,3,REP,Mark Burns,39,0,0,0,3,0,36
Abbeville,Hall's Store,,U.S. House,3,REP,Mark Burns,20,0,0,0,2,0,18
Abbeville,Keowee,,U.S. House,3,REP,Mark Burns,78,0,0,0,10,0,68
Abbeville,Lowndesville,,U.S. House,3,REP,Mark Burns,82,0,0,0,13,0,69
Abbeville,Lebanon,,U.S. House,3,REP,Mark Burns,51,0,1,0,7,0,43
Abbeville,Smithville,,U.S. House,3,REP,Mark Burns,27,0,0,0,7,0,20
Abbeville,Failsafe,,U.S. House,3,REP,Mark Burns,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Mark Burns,1,0,0,0,0,1,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Mark Burns,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Franky Franco,12,0,0,0,8,0,4
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Franky Franco,3,0,0,0,0,0,3
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Franky Franco,8,0,0,0,1,0,7
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Franky Franco,1,0,0,0,0,0,1
Abbeville,Antreville,,U.S. House,3,REP,Franky Franco,4,0,0,0,1,0,3
Abbeville,Broadmouth,,U.S. House,3,REP,Franky Franco,1,0,0,0,0,0,1
Abbeville,Calhoun Falls,,U.S. House,3,REP,Franky Franco,2,0,0,0,0,0,2
Abbeville,Cold Springs,,U.S. House,3,REP,Franky Franco,3,0,0,0,1,0,2
Abbeville,Donald's,,U.S. House,3,REP,Franky Franco,7,0,0,0,0,0,7
Abbeville,Due West,,U.S. House,3,REP,Franky Franco,32,0,0,0,5,0,27
Abbeville,Hall's Store,,U.S. House,3,REP,Franky Franco,0,0,0,0,0,0,0
Abbeville,Keowee,,U.S. House,3,REP,Franky Franco,8,0,0,0,0,0,8
Abbeville,Lowndesville,,U.S. House,3,REP,Franky Franco,1,0,0,0,0,0,1
Abbeville,Lebanon,,U.S. House,3,REP,Franky Franco,5,0,0,0,0,0,5
Abbeville,Smithville,,U.S. House,3,REP,Franky Franco,2,0,0,0,0,0,2
Abbeville,Failsafe,,U.S. House,3,REP,Franky Franco,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Franky Franco,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Franky Franco,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Phil Healy,4,0,0,0,0,0,4
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Phil Healy,1,0,0,0,0,0,1
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Phil Healy,4,0,0,0,1,0,3
Abbeville,Antreville,,U.S. House,3,REP,Phil Healy,2,0,0,0,0,0,2
Abbeville,Broadmouth,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Calhoun Falls,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Cold Springs,,U.S. House,3,REP,Phil Healy,4,0,0,0,2,0,2
Abbeville,Donald's,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Due West,,U.S. House,3,REP,Phil Healy,1,0,0,0,0,0,1
Abbeville,Hall's Store,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Keowee,,U.S. House,3,REP,Phil Healy,3,0,0,0,0,0,3
Abbeville,Lowndesville,,U.S. House,3,REP,Phil Healy,5,0,0,0,0,0,5
Abbeville,Lebanon,,U.S. House,3,REP,Phil Healy,2,0,0,0,0,0,2
Abbeville,Smithville,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Failsafe,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Phil Healy,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Stewart O Jones,42,0,0,0,11,0,31
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Stewart O Jones,8,0,1,0,0,0,7
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Stewart O Jones,14,0,0,0,1,0,13
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Stewart O Jones,13,0,0,0,4,0,9
Abbeville,Antreville,,U.S. House,3,REP,Stewart O Jones,20,0,0,0,0,0,20
Abbeville,Broadmouth,,U.S. House,3,REP,Stewart O Jones,7,0,0,0,0,0,7
Abbeville,Calhoun Falls,,U.S. House,3,REP,Stewart O Jones,16,0,0,0,0,0,16
Abbeville,Cold Springs,,U.S. House,3,REP,Stewart O Jones,20,0,0,0,1,0,19
Abbeville,Donald's,,U.S. House,3,REP,Stewart O Jones,7,0,0,0,0,0,7
Abbeville,Due West,,U.S. House,3,REP,Stewart O Jones,21,0,0,0,3,0,18
Abbeville,Hall's Store,,U.S. House,3,REP,Stewart O Jones,8,0,1,0,1,0,6
Abbeville,Keowee,,U.S. House,3,REP,Stewart O Jones,25,0,1,0,2,0,22
Abbeville,Lowndesville,,U.S. House,3,REP,Stewart O Jones,18,0,0,0,2,0,16
Abbeville,Lebanon,,U.S. House,3,REP,Stewart O Jones,17,0,0,0,8,0,9
Abbeville,Smithville,,U.S. House,3,REP,Stewart O Jones,21,0,2,0,9,0,10
Abbeville,Failsafe,,U.S. House,3,REP,Stewart O Jones,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Stewart O Jones,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Stewart O Jones,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,,U.S. House,3,REP,Elspeth Snow Murday,5,0,2,0,2,0,1
Abbeville,Abbeville No. 2,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Abbeville No. 3,,U.S. House,3,REP,Elspeth Snow Murday,1,0,0,0,1,0,0
Abbeville,Abbeville No. 4,,U.S. House,3,REP,Elspeth Snow Murday,3,0,0,0,0,0,3
Abbeville,Antreville,,U.S. House,3,REP,Elspeth Snow Murday,4,0,0,0,0,0,4
Abbeville,Broadmouth,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Calhoun Falls,,U.S. House,3,REP,Elspeth Snow Murday,1,0,0,0,0,0,1
Abbeville,Cold Springs,,U.S. House,3,REP,Elspeth Snow Murday,1,0,0,0,0,0,1
Abbeville,Donald's,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Due West,,U.S. House,3,REP,Elspeth Snow Murday,3,0,0,0,0,0,3
Abbeville,Hall's Store,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Keowee,,U.S. House,3,REP,Elspeth Snow Murday,1,0,0,0,0,0,1
Abbeville,Lowndesville,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Lebanon,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Smithville,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Failsafe,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Provisional,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,,U.S. House,3,REP,Elspeth Snow Murday,0,0,0,0,0,0,0
Abbeville,Broadmouth,State House,7,REP,Lee Gilreath,0,0,0,0,0,0,0
Abbeville,Keowee,State House,7,REP,Lee Gilreath,1,0,0,0,0,0,1
Abbeville,Failsafe,State House,7,REP,Lee Gilreath,0,0,0,0,0,0,0
Abbeville,Provisional,State House,7,REP,Lee Gilreath,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,State House,7,REP,Lee Gilreath,0,0,0,0,0,0,0
Abbeville,Broadmouth,State House,7,REP,Jay West,0,0,0,0,0,0,0
Abbeville,Keowee,State House,7,REP,Jay West,1,0,0,0,0,0,1
Abbeville,Failsafe,State House,7,REP,Jay West,0,0,0,0,0,0,0
Abbeville,Provisional,State House,7,REP,Jay West,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,State House,7,REP,Jay West,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,Coroner,,REP,James Mark Dorn,89,0,2,0,34,0,53
Abbeville,Abbeville No. 2,Coroner,,REP,James Mark Dorn,27,0,0,0,7,0,20
Abbeville,Abbeville No. 3,Coroner,,REP,James Mark Dorn,39,0,2,0,13,0,24
Abbeville,Abbeville No. 4,Coroner,,REP,James Mark Dorn,53,0,0,0,15,0,38
Abbeville,Antreville,Coroner,,REP,James Mark Dorn,102,0,2,0,23,0,77
Abbeville,Broadmouth,Coroner,,REP,James Mark Dorn,24,0,0,0,2,0,22
Abbeville,Calhoun Falls,Coroner,,REP,James Mark Dorn,39,0,5,0,2,0,32
Abbeville,Cold Springs,Coroner,,REP,James Mark Dorn,47,0,0,0,10,0,37
Abbeville,Donald's,Coroner,,REP,James Mark Dorn,40,0,0,0,7,0,33
Abbeville,Due West,Coroner,,REP,James Mark Dorn,78,0,1,0,12,0,65
Abbeville,Hall's Store,Coroner,,REP,James Mark Dorn,38,0,2,0,4,0,32
Abbeville,Keowee,Coroner,,REP,James Mark Dorn,96,0,1,0,7,0,88
Abbeville,Lowndesville,Coroner,,REP,James Mark Dorn,74,0,0,0,14,0,60
Abbeville,Lebanon,Coroner,,REP,James Mark Dorn,43,0,2,0,6,0,35
Abbeville,Smithville,Coroner,,REP,James Mark Dorn,40,0,0,0,12,0,28
Abbeville,Failsafe,Coroner,,REP,James Mark Dorn,0,0,0,0,0,0,0
Abbeville,Provisional,Coroner,,REP,James Mark Dorn,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,Coroner,,REP,James Mark Dorn,0,0,0,0,0,0,0
Abbeville,Abbeville No. 1,Coroner,,REP,Brad Evans,171,0,4,0,59,0,108
Abbeville,Abbeville No. 2,Coroner,,REP,Brad Evans,57,0,2,0,11,0,44
Abbeville,Abbeville No. 3,Coroner,,REP,Brad Evans,87,0,3,0,37,0,47
Abbeville,Abbeville No. 4,Coroner,,REP,Brad Evans,63,0,2,0,15,0,46
Abbeville,Antreville,Coroner,,REP,Brad Evans,100,0,0,0,17,0,83
Abbeville,Broadmouth,Coroner,,REP,Brad Evans,22,0,0,0,2,0,20
Abbeville,Calhoun Falls,Coroner,,REP,Brad Evans,68,0,0,0,17,0,51
Abbeville,Cold Springs,Coroner,,REP,Brad Evans,119,0,0,0,26,0,93
Abbeville,Donald's,Coroner,,REP,Brad Evans,26,0,0,0,5,0,21
Abbeville,Due West,Coroner,,REP,Brad Evans,77,0,1,0,10,0,66
Abbeville,Hall's Store,Coroner,,REP,Brad Evans,25,0,0,0,1,0,24
Abbeville,Keowee,Coroner,,REP,Brad Evans,73,0,0,0,8,0,65
Abbeville,Lowndesville,Coroner,,REP,Brad Evans,81,0,0,0,15,0,66
Abbeville,Lebanon,Coroner,,REP,Brad Evans,88,0,1,0,23,0,64
Abbeville,Smithville,Coroner,,REP,Brad Evans,58,0,4,0,21,0,33
Abbeville,Failsafe,Coroner,,REP,Brad Evans,0,0,0,0,0,0,0
Abbeville,Provisional,Coroner,,REP,Brad Evans,1,0,0,0,0,1,0
Abbeville,Failsafe Provisional,Coroner,,REP,Brad Evans,0,0,0,0,0,0,0
Abbeville,Abbeville No. 4,County Council District 6,,REP,Gene Pruitt - WITHDREW,3,0,0,0,1,0,2
Abbeville,Antreville,County Council District 6,,REP,Gene Pruitt - WITHDREW,40,0,2,0,7,0,31
Abbeville,Calhoun Falls,County Council District 6,,REP,Gene Pruitt - WITHDREW,16,0,0,0,2,0,14
Abbeville,Lowndesville,County Council District 6,,REP,Gene Pruitt - WITHDREW,31,0,0,0,7,0,24
Abbeville,Lebanon,County Council District 6,,REP,Gene Pruitt - WITHDREW,0,0,0,0,0,0,0
Abbeville,Failsafe,County Council District 6,,REP,Gene Pruitt - WITHDREW,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 6,,REP,Gene Pruitt - WITHDREW,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 6,,REP,Gene Pruitt - WITHDREW,0,0,0,0,0,0,0
Abbeville,Abbeville No. 4,County Council District 6,,REP,Trent Taylor,16,0,0,0,8,0,8
Abbeville,Antreville,County Council District 6,,REP,Trent Taylor,100,0,0,0,20,0,80
Abbeville,Calhoun Falls,County Council District 6,,REP,Trent Taylor,25,0,3,0,4,0,18
Abbeville,Lowndesville,County Council District 6,,REP,Trent Taylor,114,0,0,0,18,0,96
Abbeville,Lebanon,County Council District 6,,REP,Trent Taylor,0,0,0,0,0,0,0
Abbeville,Failsafe,County Council District 6,,REP,Trent Taylor,0,0,0,0,0,0,0
Abbeville,Provisional,County Council District 6,,REP,Trent Taylor,0,0,0,0,0,0,0
Abbeville,Failsafe Provisional,County Council District 6,,REP,Trent Taylor,0,0,0,0,0,0,0
