county,precinct,office,district,candidate,party,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Aiken,N. Augusta No. 55,President,,Howie Hawkins | Angela Walker,GRN,1,1,0,0,0,0,0
Aiken,Couchton,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,Redds Branch,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,0,2
Aiken,Fox Creek No. 58,President,,Howie Hawkins | Angela Walker,GRN,5,0,0,0,0,1,4
Aiken,Pine Forest,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,0,3
Aiken,Gem Lakes No. 60,President,,Howie Hawkins | Angela Walker,GRN,5,0,0,0,0,0,5
Aiken,Silver Bluff,President,,Howie Hawkins | Angela Walker,GRN,6,1,0,0,0,0,5
Aiken,Belvedere No. 62,President,,Howie Hawkins | Angela Walker,GRN,5,1,0,0,0,1,3
Aiken,Ascauga Lake No. 63,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,1,0
Aiken,Cedar Creek No. 64,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,1,1
Aiken,Sleepy Hollow No. 65,President,,Howie Hawkins | Angela Walker,GRN,3,2,0,0,0,0,1
Aiken,Hitchcock No. 66,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,0,2
Aiken,N. Augusta No. 67,President,,Howie Hawkins | Angela Walker,GRN,3,1,0,0,0,0,2
Aiken,N. Augusta No. 68,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,2,0
Aiken,Anderson Pond No. 69,President,,Howie Hawkins | Angela Walker,GRN,4,1,0,0,0,3,0
Aiken,Sandstone No. 70,President,,Howie Hawkins | Angela Walker,GRN,10,4,0,0,0,1,5
Aiken,Midland Valley No. 71,President,,Howie Hawkins | Angela Walker,GRN,3,0,0,0,0,0,3
Aiken,Levels No. 72,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,Fox Creek No. 73,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,1,0
Aiken,Belvedere No. 74,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,South Aiken No. 75,President,,Howie Hawkins | Angela Walker,GRN,9,0,0,0,0,2,7
Aiken,South Aiken No. 76,President,,Howie Hawkins | Angela Walker,GRN,4,2,0,0,0,0,2
Aiken,Gem Lakes No. 77,President,,Howie Hawkins | Angela Walker,GRN,4,3,0,0,0,1,0
Aiken,Montmorenci No. 78,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,Sandstone No. 79,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 80,President,,Howie Hawkins | Angela Walker,GRN,3,2,0,0,0,0,1
Aiken,Hammond No. 81,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,1,1
Aiken,Windsor No. 82,President,,Howie Hawkins | Angela Walker,GRN,1,0,0,0,0,0,1
Aiken,Levels No. 83,President,,Howie Hawkins | Angela Walker,GRN,2,1,0,0,0,0,1
Aiken,Ascauga Lake No. 84,President,,Howie Hawkins | Angela Walker,GRN,2,0,0,0,0,1,1
Aiken,Failsafe,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Provisional,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Failsafe Provisional,President,,Howie Hawkins | Angela Walker,GRN,0,0,0,0,0,0,0
Aiken,Aiken No. 1,President,,Donald J Trump | Michael R Pence,REP,616,237,0,0,0,98,281
Aiken,Aiken No. 2,President,,Donald J Trump | Michael R Pence,REP,185,75,0,0,0,26,84
Aiken,Aiken No. 3,President,,Donald J Trump | Michael R Pence,REP,133,52,0,0,0,14,67
Aiken,Aiken No. 4,President,,Donald J Trump | Michael R Pence,REP,69,27,0,0,0,7,35
Aiken,Aiken No. 5,President,,Donald J Trump | Michael R Pence,REP,333,157,0,0,0,44,132
Aiken,Aiken No. 6,President,,Donald J Trump | Michael R Pence,REP,596,252,0,0,0,88,256
Aiken,Bath,President,,Donald J Trump | Michael R Pence,REP,299,78,0,0,0,8,213
Aiken,Beech Island,President,,Donald J Trump | Michael R Pence,REP,512,161,0,0,0,31,320
Aiken,Belvedere No. 9,President,,Donald J Trump | Michael R Pence,REP,540,183,0,0,0,52,305
Aiken,Carolina Heights,President,,Donald J Trump | Michael R Pence,REP,278,120,0,0,0,21,137
Aiken,China Springs,President,,Donald J Trump | Michael R Pence,REP,355,118,0,0,0,33,204
Aiken,Clearwater,President,,Donald J Trump | Michael R Pence,REP,239,67,0,0,0,15,157
Aiken,College Acres,President,,Donald J Trump | Michael R Pence,REP,842,287,0,0,0,111,444
Aiken,Eureka,President,,Donald J Trump | Michael R Pence,REP,802,186,0,0,0,44,572
Aiken,Gloverville,President,,Donald J Trump | Michael R Pence,REP,520,108,0,0,0,27,385
Aiken,Graniteville,President,,Donald J Trump | Michael R Pence,REP,460,143,0,0,0,46,271
Aiken,Jackson,President,,Donald J Trump | Michael R Pence,REP,876,405,0,0,0,51,420
Aiken,Langley,President,,Donald J Trump | Michael R Pence,REP,600,121,0,0,0,30,449
Aiken,Lynwood,President,,Donald J Trump | Michael R Pence,REP,463,88,0,0,0,23,352
Aiken,Millbrook,President,,Donald J Trump | Michael R Pence,REP,904,377,0,0,0,148,379
Aiken,Monetta,President,,Donald J Trump | Michael R Pence,REP,459,151,0,0,0,32,276
Aiken,Montmorenci No. 22,President,,Donald J Trump | Michael R Pence,REP,883,335,0,0,0,89,459
Aiken,New Ellenton,President,,Donald J Trump | Michael R Pence,REP,565,119,0,0,0,28,418
Aiken,New Holland,President,,Donald J Trump | Michael R Pence,REP,431,102,0,0,0,27,302
Aiken,N. Augusta No. 25,President,,Donald J Trump | Michael R Pence,REP,583,307,0,0,0,44,232
Aiken,N. Augusta No. 26,President,,Donald J Trump | Michael R Pence,REP,367,142,0,0,0,32,193
Aiken,N. Augusta No. 27,President,,Donald J Trump | Michael R Pence,REP,986,439,0,0,0,122,425
Aiken,N. Augusta No. 28,President,,Donald J Trump | Michael R Pence,REP,618,230,0,0,0,77,311
Aiken,N. Augusta No. 29,President,,Donald J Trump | Michael R Pence,REP,669,303,0,0,0,69,297
Aiken,Oak Grove,President,,Donald J Trump | Michael R Pence,REP,572,80,0,0,0,29,463
Aiken,Perry,President,,Donald J Trump | Michael R Pence,REP,438,102,0,0,0,18,318
Aiken,Salley,President,,Donald J Trump | Michael R Pence,REP,239,47,0,0,0,7,185
Aiken,Shaws Fork,President,,Donald J Trump | Michael R Pence,REP,359,65,0,0,0,22,272
Aiken,Shiloh,President,,Donald J Trump | Michael R Pence,REP,972,322,0,0,0,93,557
Aiken,Six Points No. 35,President,,Donald J Trump | Michael R Pence,REP,675,285,0,0,0,100,290
Aiken,Tabernacle,President,,Donald J Trump | Michael R Pence,REP,258,51,0,0,0,12,195
Aiken,Talatha,President,,Donald J Trump | Michael R Pence,REP,811,248,0,0,0,70,493
Aiken,Vaucluse,President,,Donald J Trump | Michael R Pence,REP,858,266,0,0,0,59,533
Aiken,Wagener,President,,Donald J Trump | Michael R Pence,REP,858,374,0,0,0,51,433
Aiken,Ward,President,,Donald J Trump | Michael R Pence,REP,668,217,0,0,0,44,407
Aiken,Warrenville,President,,Donald J Trump | Michael R Pence,REP,881,243,0,0,0,50,588
Aiken,White Pond,President,,Donald J Trump | Michael R Pence,REP,303,58,0,0,0,20,225
Aiken,Windsor No. 43,President,,Donald J Trump | Michael R Pence,REP,487,129,0,0,0,23,335
Aiken,Belvedere No. 44,President,,Donald J Trump | Michael R Pence,REP,561,161,0,0,0,41,359
Aiken,Misty Lakes,President,,Donald J Trump | Michael R Pence,REP,853,327,0,0,0,62,464
Aiken,Six Points No. 46,President,,Donald J Trump | Michael R Pence,REP,112,51,0,0,0,6,55
Aiken,Aiken No. 47,President,,Donald J Trump | Michael R Pence,REP,461,210,0,0,0,44,207
Aiken,Hammond No. 48,President,,Donald J Trump | Michael R Pence,REP,573,242,0,0,0,32,299
Aiken,Willow Springs,President,,Donald J Trump | Michael R Pence,REP,683,254,0,0,0,56,373
Aiken,Breezy Hill,President,,Donald J Trump | Michael R Pence,REP,1107,447,0,0,0,93,567
Aiken,Midland Valley No. 51,President,,Donald J Trump | Michael R Pence,REP,1150,466,0,0,0,91,593
Aiken,Levels No. 52,President,,Donald J Trump | Michael R Pence,REP,484,185,0,0,0,50,249
Aiken,Hollow Creek,President,,Donald J Trump | Michael R Pence,REP,758,355,0,0,0,156,247
Aiken,N. Augusta No. 54,President,,Donald J Trump | Michael R Pence,REP,347,116,0,0,0,28,203
Aiken,N. Augusta No. 55,President,,Donald J Trump | Michael R Pence,REP,517,165,0,0,0,58,294
Aiken,Couchton,President,,Donald J Trump | Michael R Pence,REP,623,156,0,0,0,73,394
Aiken,Redds Branch,President,,Donald J Trump | Michael R Pence,REP,578,168,0,0,0,39,371
Aiken,Fox Creek No. 58,President,,Donald J Trump | Michael R Pence,REP,836,326,0,0,0,91,419
Aiken,Pine Forest,President,,Donald J Trump | Michael R Pence,REP,1012,244,0,0,0,56,712
Aiken,Gem Lakes No. 60,President,,Donald J Trump | Michael R Pence,REP,748,259,0,0,0,94,395
Aiken,Silver Bluff,President,,Donald J Trump | Michael R Pence,REP,617,237,0,0,0,48,332
Aiken,Belvedere No. 62,President,,Donald J Trump | Michael R Pence,REP,413,132,0,0,0,34,247
Aiken,Ascauga Lake No. 63,President,,Donald J Trump | Michael R Pence,REP,476,152,0,0,0,14,310
Aiken,Cedar Creek No. 64,President,,Donald J Trump | Michael R Pence,REP,1021,435,0,0,0,253,333
Aiken,Sleepy Hollow No. 65,President,,Donald J Trump | Michael R Pence,REP,1133,397,0,0,0,109,627
Aiken,Hitchcock No. 66,President,,Donald J Trump | Michael R Pence,REP,499,176,0,0,0,47,276
Aiken,N. Augusta No. 67,President,,Donald J Trump | Michael R Pence,REP,735,378,0,0,0,89,268
Aiken,N. Augusta No. 68,President,,Donald J Trump | Michael R Pence,REP,1323,567,0,0,0,153,603
Aiken,Anderson Pond No. 69,President,,Donald J Trump | Michael R Pence,REP,1164,634,0,0,0,257,273
Aiken,Sandstone No. 70,President,,Donald J Trump | Michael R Pence,REP,579,196,0,0,0,45,338
Aiken,Midland Valley No. 71,President,,Donald J Trump | Michael R Pence,REP,1063,419,0,0,0,90,554
Aiken,Levels No. 72,President,,Donald J Trump | Michael R Pence,REP,396,145,0,0,0,40,211
Aiken,Fox Creek No. 73,President,,Donald J Trump | Michael R Pence,REP,822,317,0,0,0,80,425
Aiken,Belvedere No. 74,President,,Donald J Trump | Michael R Pence,REP,302,84,0,0,0,33,185
Aiken,South Aiken No. 75,President,,Donald J Trump | Michael R Pence,REP,878,323,0,0,0,112,443
Aiken,South Aiken No. 76,President,,Donald J Trump | Michael R Pence,REP,1113,507,0,0,0,168,438
Aiken,Gem Lakes No. 77,President,,Donald J Trump | Michael R Pence,REP,810,323,0,0,0,148,339
Aiken,Montmorenci No. 78,President,,Donald J Trump | Michael R Pence,REP,469,150,0,0,0,58,261
Aiken,Sandstone No. 79,President,,Donald J Trump | Michael R Pence,REP,402,177,0,0,0,61,164
Aiken,N. Augusta No. 80,President,,Donald J Trump | Michael R Pence,REP,452,184,0,0,0,42,226
Aiken,Hammond No. 81,President,,Donald J Trump | Michael R Pence,REP,489,197,0,0,0,38,254
Aiken,Windsor No. 82,President,,Donald J Trump | Michael R Pence,REP,485,113,0,0,0,30,342
Aiken,Levels No. 83,President,,Donald J Trump | Michael R Pence,REP,250,95,0,0,0,46,109
Aiken,Ascauga Lake No. 84,President,,Donald J Trump | Michael R Pence,REP,675,279,0,0,0,62,334
Aiken,Failsafe,President,,Donald J Trump | Michael R Pence,REP,27,0,0,0,27,0,0
Aiken,Provisional,President,,Donald J Trump | Michael R Pence,REP,15,0,0,15,0,0,0
Aiken,Failsafe Provisional,President,,Donald J Trump | Michael R Pence,REP,16,0,16,0,0,0,0
Aiken,Aiken No. 1,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Aiken No. 2,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,0,0,0,0,1,1
Aiken,Aiken No. 3,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,0,1
Aiken,Aiken No. 4,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Aiken No. 5,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Aiken No. 6,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Bath,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Beech Island,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,0,0,0,0,0,2
Aiken,Belvedere No. 9,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,1,0
Aiken,Carolina Heights,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,China Springs,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Clearwater,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,3,0,0,0,0,1,2
Aiken,College Acres,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,0,0,0,0,0,2
Aiken,Eureka,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Gloverville,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Graniteville,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Jackson,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Langley,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Lynwood,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Millbrook,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Monetta,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,3,0,0,0,0,0,3
Aiken,Montmorenci No. 22,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,0,1
Aiken,New Ellenton,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,New Holland,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 25,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,1,0
Aiken,N. Augusta No. 26,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 27,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 28,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 29,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Oak Grove,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Perry,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Salley,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Shaws Fork,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Shiloh,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Six Points No. 35,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Tabernacle,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Talatha,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,0,0,0,0,0,2
Aiken,Vaucluse,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Wagener,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,0,1
Aiken,Ward,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Warrenville,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,White Pond,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Windsor No. 43,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Belvedere No. 44,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,3,1,0,0,0,0,2
Aiken,Misty Lakes,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Six Points No. 46,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Aiken No. 47,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Hammond No. 48,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,0,0,0,0,0,2
Aiken,Willow Springs,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Breezy Hill,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Midland Valley No. 51,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Levels No. 52,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Hollow Creek,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,1,0
Aiken,N. Augusta No. 54,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 55,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Couchton,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Redds Branch,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Fox Creek No. 58,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,0,1
Aiken,Pine Forest,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,1,0
Aiken,Gem Lakes No. 60,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Silver Bluff,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Belvedere No. 62,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Ascauga Lake No. 63,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Cedar Creek No. 64,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Sleepy Hollow No. 65,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Hitchcock No. 66,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,N. Augusta No. 67,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,N. Augusta No. 68,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,1,0
Aiken,Anderson Pond No. 69,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Sandstone No. 70,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,3,1,0,0,0,1,1
Aiken,Midland Valley No. 71,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Levels No. 72,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,1,0
Aiken,Fox Creek No. 73,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,2,0,0,0,0,0
Aiken,Belvedere No. 74,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,South Aiken No. 75,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,South Aiken No. 76,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Gem Lakes No. 77,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,0,0,0,0,0,1
Aiken,Montmorenci No. 78,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,2,1,0,0,0,1,0
Aiken,Sandstone No. 79,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,N. Augusta No. 80,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Hammond No. 81,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Windsor No. 82,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,0,0,0,0,0,0,0
Aiken,Levels No. 83,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
Aiken,Ascauga Lake No. 84,President,,ALN Roque Rocky De La Fuente | Darcy G Richardson,ALN,1,1,0,0,0,0,0
