county,precinct,office,district,party,candidate,votes,in-person_absentee,failsafe_provisional,provisional,failsafe,absentee_by_mail,election_day
Marion,TEMPERANCE,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,ZION,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,N WEST MULLINS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,S WEST MULLINS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,N EAST MULLINS,STRAIGHT PARTY 1,,ALN,Alliance,1,1,0,0,0,0,0
Marion,S EAST MULLINS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,NICHOLS,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,Failsafe,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,Provisional,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,Failsafe Provisional,STRAIGHT PARTY 1,,ALN,Alliance,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,STRAIGHT PARTY 1,,LIB,Libertarian,3,0,0,0,0,0,3
Marion,FRIENDSHIP,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,CENTENARY,STRAIGHT PARTY 1,,LIB,Libertarian,1,0,0,0,0,0,1
Marion,RAINS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,MARION NO. 1,STRAIGHT PARTY 1,,LIB,Libertarian,2,0,0,0,0,1,1
Marion,MARION NO. 2,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,MARION NORTH,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,MARION SOUTH,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,MARION WEST,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,SELLERS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,TEMPERANCE,STRAIGHT PARTY 1,,LIB,Libertarian,4,0,0,0,0,1,3
Marion,ZION,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,N WEST MULLINS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,S WEST MULLINS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,N EAST MULLINS,STRAIGHT PARTY 1,,LIB,Libertarian,5,1,0,0,0,1,3
Marion,S EAST MULLINS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,NICHOLS,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,Failsafe,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,Provisional,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,Failsafe Provisional,STRAIGHT PARTY 1,,LIB,Libertarian,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,STRAIGHT PARTY 1,,DEM,Democratic,523,133,0,0,0,114,276
Marion,FRIENDSHIP,STRAIGHT PARTY 1,,DEM,Democratic,127,37,0,0,0,19,71
Marion,CENTENARY,STRAIGHT PARTY 1,,DEM,Democratic,491,198,0,0,0,100,193
Marion,RAINS,STRAIGHT PARTY 1,,DEM,Democratic,271,140,0,0,0,39,92
Marion,MARION NO. 1,STRAIGHT PARTY 1,,DEM,Democratic,492,201,0,0,0,149,142
Marion,MARION NO. 2,STRAIGHT PARTY 1,,DEM,Democratic,311,163,0,0,0,47,101
Marion,MARION NORTH,STRAIGHT PARTY 1,,DEM,Democratic,384,227,0,0,0,50,107
Marion,MARION SOUTH,STRAIGHT PARTY 1,,DEM,Democratic,1078,542,0,0,0,223,313
Marion,MARION WEST,STRAIGHT PARTY 1,,DEM,Democratic,271,116,0,0,0,72,83
Marion,SELLERS,STRAIGHT PARTY 1,,DEM,Democratic,113,6,0,0,0,46,61
Marion,TEMPERANCE,STRAIGHT PARTY 1,,DEM,Democratic,353,157,0,0,0,58,138
Marion,ZION,STRAIGHT PARTY 1,,DEM,Democratic,178,72,0,0,0,25,81
Marion,N WEST MULLINS,STRAIGHT PARTY 1,,DEM,Democratic,498,231,0,0,0,71,196
Marion,S WEST MULLINS,STRAIGHT PARTY 1,,DEM,Democratic,494,260,0,0,0,101,133
Marion,N EAST MULLINS,STRAIGHT PARTY 1,,DEM,Democratic,569,269,0,0,0,101,199
Marion,S EAST MULLINS,STRAIGHT PARTY 1,,DEM,Democratic,185,94,0,0,0,34,57
Marion,NICHOLS,STRAIGHT PARTY 1,,DEM,Democratic,128,65,0,0,0,12,51
Marion,Failsafe,STRAIGHT PARTY 1,,DEM,Democratic,2,0,0,0,2,0,0
Marion,Provisional,STRAIGHT PARTY 1,,DEM,Democratic,13,0,0,13,0,0,0
Marion,Failsafe Provisional,STRAIGHT PARTY 1,,DEM,Democratic,1,0,1,0,0,0,0
Marion,BRITTON'S NECK,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,FRIENDSHIP,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,CENTENARY,President,,GRN,Howie Hawkins | Angela Walker,4,0,0,0,0,0,4
Marion,RAINS,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,MARION NO. 1,President,,GRN,Howie Hawkins | Angela Walker,6,2,0,0,0,1,3
Marion,MARION NO. 2,President,,GRN,Howie Hawkins | Angela Walker,4,2,0,0,0,0,2
Marion,MARION NORTH,President,,GRN,Howie Hawkins | Angela Walker,3,3,0,0,0,0,0
Marion,MARION SOUTH,President,,GRN,Howie Hawkins | Angela Walker,3,3,0,0,0,0,0
Marion,MARION WEST,President,,GRN,Howie Hawkins | Angela Walker,4,0,0,0,0,1,3
Marion,SELLERS,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,TEMPERANCE,President,,GRN,Howie Hawkins | Angela Walker,2,1,0,0,0,0,1
Marion,ZION,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,N WEST MULLINS,President,,GRN,Howie Hawkins | Angela Walker,2,1,0,0,0,0,1
Marion,S WEST MULLINS,President,,GRN,Howie Hawkins | Angela Walker,4,1,0,0,0,1,2
Marion,N EAST MULLINS,President,,GRN,Howie Hawkins | Angela Walker,5,1,0,0,0,0,4
Marion,S EAST MULLINS,President,,GRN,Howie Hawkins | Angela Walker,1,0,0,0,0,1,0
Marion,NICHOLS,President,,GRN,Howie Hawkins | Angela Walker,2,1,0,0,0,1,0
Marion,Failsafe,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,Provisional,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,Failsafe Provisional,President,,GRN,Howie Hawkins | Angela Walker,0,0,0,0,0,0,0
Marion,BRITTON'S NECK,President,,REP,Donald J Trump | Michael R Pence,353,86,0,0,0,44,223
Marion,FRIENDSHIP,President,,REP,Donald J Trump | Michael R Pence,70,13,0,0,0,9,48
Marion,CENTENARY,President,,REP,Donald J Trump | Michael R Pence,283,108,0,0,0,22,153
Marion,RAINS,President,,REP,Donald J Trump | Michael R Pence,179,70,0,0,0,17,92
Marion,MARION NO. 1,President,,REP,Donald J Trump | Michael R Pence,226,93,0,0,0,28,105
